순번,관할관청,운행업체,노선번호,노선ID,기점,기점_STATION_ID,종점,종점_STATION_ID,주중배차간격,주말배차간격,상행첫차,상행막차,하행첫차,하행막차
699, 김포시,김포운수,공영쇄암,232000024,천주교양곡성당.양곡중고,232000307,쇄암리종점,232000137,60분~70분,60분~70분,06:20,21:10,06:50,21:45
700, 김포시,김포운수,60-3,232000025,대명항,232000629,경방타임스퀘어.신세계백화점,118000025,12분~25분,25분~40분,04:10,22:00,05:40,23:20
701, 김포시,김포운수,60-3,232000025,대명항,232000629,경방타임스퀘어.신세계백화점,118000025,12분~25분,25분~40분,04:10,22:30,05:40,23:50
702, 김포시,선진상운,2,232000028,귀전리차고지,232000981,송정역(중),115000634,20분~23분,22분~25분,04:10,23:00,05:00,00:00
703, 김포시,선진상운,88,232000029,강화터미널,169000096,경방타임스퀘어.신세계백화점,118000025,15분~23분,20분~32분,04:10,22:00,05:30,23:40
704, 김포시,선진버스,102,232000031,풍년마을,232000479,쇄암리입구,232000160,50분~80분,50분~80분,06:00,21:00,05:00,18:40
705, 김포시,선진버스,101,232000032,풍년마을,232000479,쇄암리입구,232000151,50분~80분,50분~80분,06:30,21:30,05:00,18:55
706, 김포시,선진버스,83,232000035,사우역.김포고(김포초교방면),232000968,하나가든,232000193,70분~120분,140분~190분,06:05,19:30,07:15,20:35
707, 김포시,선진버스,201,232000036,하성종점,232000123,하성종점,232000104,30분~60분,30분~60분,06:00,21:00,06:30,21:30
708, 김포시,선진버스,202,232000037,하성종점,232000123,하성종점,232000104,30분~60분,30분~60분,06:30,21:30,07:00,22:00
709, 김포시,선진버스,86,232000038,학운초교,232000621,누산사거리,232000370,90분~150분,,07:00,18:30,07:45,19:10
710, 김포시,선진버스,86,232000038,학운초교,232000621,누산사거리,232000370,90분~150분,,,,,
711, 김포시,선진버스,86-1,232000039,신양중학교,232000635,박마1길,232000223,90분~140분,,07:30,19:00,08:15,19:40
712, 김포시,김포운수,8600,232000047,휴먼시아9단지,232000967,시청.서소문청사,101000038,15분~25분,25분~40분,04:20,23:00,05:50,00:30
713, 김포시,선진버스,90,232000056,강화터미널,169000096,부평역,166000234,8분~15분,25분~40분,04:10,22:30,05:40,23:50
714, 김포시,선진상운,3000,232000061,강화터미널,169000096,신촌오거리.2호선신촌역(중),113000419,9분~17분,8분~15분,04:10,22:00,05:40,23:20
715, 김포시,선진버스,81-1,232000065,이젠,232000624,롯데마트계양점.고용복지센터,167000424,5분~10분,25분~40분,04:20,23:20,05:10,00:30
716, 김포시,선진상운,388,232000067,김포차량등록사업소,232000465,석수역(중),117000310,10분~15분,10분~15분,04:00,22:40,05:30,00:00
717, 김포시,선진버스,22,232000070,구래리차고지,232000647,마곡역,115000309,40분~60분,60분~90분,04:50,00:00,05:40,00:50
718, 김포시,김포운수,M6117,232000071,양곡터미널,232000810,서울역,101000250,10분~20분,30분~40분,04:30,23:10,05:40,00:20
719, 김포시,김포운수,8601,232000072,한강센트럴블루힐.모아엘가2차,232000718,시청.서소문청사,101000038,15분~30분,25분~40분,04:20,23:00,05:50,00:30
720, 김포시,김포운수,1004,232000073,완정사거리,168000561,시청.서소문청사,101000038,20분~40분,50분~80분,04:30,22:50,05:40,00:00
721, 김포시,김포운수,1004,232000073,완정사거리,168000561,시청.서소문청사,101000038,20분~40분,50분~80분,05:00,22:20,06:10,23:30
722, 김포시,김포운수,M6427,232000075,양곡터미널,232000810,신분당선강남역(중),121000009,20분~40분,35분~40분,04:30,22:40,05:50,00:00
723, 김포시,선진버스,33,232000076,고다니마을9단지,232000710,일산동구청(중),219000356,30분~40분,40분~60분,04:20,23:20,05:20,00:20
724, 김포시,김포운수,6427,232000081,한가람마을우미린.호수이편한세상,232000704,신분당선강남역(중),121000009,120분,240분,05:00,22:20,06:30,23:50
725, 김포시,김포운수,1,232000082,학운5리마을회관,232000573,사우역.김포고,232000362,30분~50분,60분~80분,05:30,21:00,06:10,21:40
726, 김포시,김포운수,1-1,232000083,차고지(경유),277102722,애기봉입구,232000127,,50분~70분,,,07:10,
727, 김포시,김포운수,1-1,232000083,차고지(경유),277102722,애기봉입구,232000127,,50분~70분,,,,
728, 김포시,선진상운,3,232000087,군하리,232000603,김포보건소,232000062,50분~70분,120분,06:00,19:30,07:05,20:40
729, 김포시,선진상운,3,232000087,군하리,232000603,김포보건소,232000062,50분~70분,120분,06:00,20:20,07:05,21:25
730, 김포시,선진상운,3-1,232000088,군하리,232000603,대명항,232000630,,75분,00:00,00:00,00:00,00:00
731, 김포시,선진상운,3-1,232000088,군하리,232000603,대명항,232000630,,75분,00:00,00:00,06:30,00:00
732, 김포시,선진버스,90-1,232000089,이젠,232000688,부평역,166000865,30분~45분,45분~60분,05:00,23:00,05:50,00:00
733, 김포시,김포운수,G6000,232000090,수자인.호반아파트,232000722,서강대학교,113000079,20분~40분,50분~70분,04:40,23:10,05:30,00:00
734, 김포시,김포운수,G6000,232000090,수자인.호반아파트,232000722,서강대학교,113000079,20분~40분,50분~70분,05:10,22:40,06:00,23:30
735, 김포시,선진버스,7000,232000092,금성백조예미지,232000847,당산역,118000091,9분~12분,14분~16분,04:40,23:20,05:30,00:10
736, 김포시,김포운수,G6001,232000094,호수마을5단지후문,232000823,당산역,118000091,20분~30분,30분~50분,04:30,23:10,05:20,00:00
737, 김포시,선진버스,21,232000095,구래리차고지,232000647,롯데몰.김포공항,115000617,20분~30분,24분~40분,04:50,23:50,05:35,00:35
738, 김포시,김포운수,4,232000096,구래역,232000725,동진금속,232000279,30분~40분,60분~80분,05:30,20:30,06:10,21:10
739, 김포시,김포운수,4,232000096,구래역,232000725,동진금속,232000279,30분~40분,60분~80분,06:00,20:30,06:40,21:10
740, 김포시,김포운수,4-1,232000097,양곡터미널,232000810,하늘빛마을,232000734,,60분~90분,,,07:20,
741, 김포시,김포운수,4-1,232000097,양곡터미널,232000810,하늘빛마을,232000734,,60분~90분,,,,
742, 김포시,선진버스,9000,232000099,구터미널종점,232000481,인천공항3층출국장(T2),161000611,60분~100분,60분~100분,04:15,20:00,05:45,21:30
743, 김포시,선진상운,7,232000100,군하리,232000603,김포보건소,232000062,30분~60분,60분~80분,06:00,19:50,07:05,20:55
744, 김포시,선진상운,7,232000100,군하리,232000603,김포보건소,232000062,30분~60분,60분~80분,06:00,20:30,07:05,21:35
745, 김포시,선진상운,7-2,232000102,군하리,232000603,구래역,232000725,,100분~140분,06:30,19:20,08:10,21:00
746, 김포시,선진상운,7-2,232000102,군하리,232000603,구래역,232000725,,100분~140분,,,,
747, 김포시,선진버스,7100,232000103,구래리차고지,232000647,당산역,118000091,10분~15분,15분~19분,04:50,23:00,05:40,23:50
748, 김포시,김포운수,이음1,232000105,양곡터미널(경유),277102724,서울역,101000250,,,00:00,01:00,01:30,02:30
749, 김포시,김포운수,이음1,232000105,양곡터미널(경유),277102724,서울역,101000250,,,,,,
750, 김포시,김포운수,이음2,232000106,양곡터미널(경유),277102724,신분당선강남역(중),121000009,,,00:00,01:00,01:30,02:30
751, 김포시,김포운수,이음2,232000106,양곡터미널(경유),277102724,신분당선강남역(중),121000009,,,,,,
752, 김포시,김포운수,4-2,232000108,구래역,232000725,동진금속,232000279,,,00:00,00:00,00:00,00:00
753, 김포시,김포운수,4-2,232000108,구래역,232000725,동진금속,232000279,,,08:00,08:20,08:00,08:20
754, 김포시,선진버스,33-1,232000109,유현마을.신동아아파트,232000349,일산동구청(중),219000356,25분~40분,45분~60분,04:20,23:20,05:20,00:20
755, 김포시,선진상운,G6003,232000111,매수리마을,232000813,당산역,118000091,25분~30분,30분~35분,04:10,22:40,05:10,23:40
756, 김포시,선진버스,82,232000112,북변환승센터.구터미널,232000580,계양역,167000358,15분~25분,30분,05:50,23:00,06:20,23:30
757, 김포시,선진상운,8,232000113,모담마을,232000748,운양역,232000727,5분~10분,5분~10분,06:10,20:05,06:18,20:13
758, 김포시,선진상운,8-1,232000114,모담마을,232000748,구래리차고지,232000647,25분~45분,25분~45분,07:25,20:20,08:55,21:50
759, 김포시,선진상운,8-1,232000114,모담마을,232000748,구래리차고지,232000647,25분~45분,25분~45분,08:25,20:20,09:55,21:50
760, 김포시,선진상운,8-2,232000115,모담마을,232000748,고창마을.KCC,232000709,25분,,07:25,08:20,07:40,08:35
761, 김포시,선진상운,8-2,232000115,모담마을,232000748,고창마을.KCC,232000709,25분,,,,,
762, 김포시,김포운수,G6002,232000116,유현마을.신동아아파트,232000349,경방타임스퀘어.신세계백화점,118000025,25분~30분,30분~45분,04:30,23:20,05:30,00:20
763, 김포시,김포운수,G6004,232000117,금빛마을.자연앤아파트,232000622,모래내시장.가좌역(중),112000005,20분~30분,30분~35분,04:20,23:20,05:30,00:30
764, 김포시,김포운수,G6005,232000118,홈플러스.산림조합,232000037,시청.서소문청사,101000038,20분~35분,30분~45분,04:20,23:00,05:30,00:10
765, 김포시,김포-선진운수,55,241336001,건영아파트,232000873,건영아파트,232514390,20분~30분,25분~40분,6:10,21:30,6:10,21:30
766, 김포시,김포-선진운수,55,241336001,건영아파트,232000873,건영아파트,232514390,20분~30분,25분~40분,7:10,21:30,7:10,21:30
767, 김포시,김포-선진운수,54,241336002,장기역5번출구,232000691,사우역.김포고,232000362,15분~30분,20분~40분,6:10,21:30,6:10,21:30
768, 김포시,김포-선진운수,54,241336002,장기역5번출구,232000691,사우역.김포고,232000362,15분~30분,20분~40분,7:10,21:30,7:10,21:30
769, 김포시,김포-선진운수,56,241336004,승가대학,232514110,김포등기소,232514090,,,,,,
770, 김포시,김포-선진운수,56N,241336005,승가대학,232514110,풍무역.트레이더스,232000864,,,,,,
771, 김포시,김포-한강교통,30-1A,241351001,장기역.주공아파트,232000553,용화사,232000701,15분~30분,25분~45분,6:40,21:30,6:40,21:30
772, 김포시,김포-한강교통,31,241351002,구래역,232000724,군하리,232000602,80분,80분,6:30,20:50,7:10,21:30
773, 김포시,김포-한강교통,32,241351004,김포한강LH3단지,232000925,양곡도서관,232000712,20분~40분,20분~40분,7:00,19:00,7:00,19:00
774, 김포시,김포-선진운수,35,241351007,한강센트럴자이,232000818,한강센트럴자이,232000818,10분~15분,20분~30분,6:40,21:30,6:40,21:30
775, 김포시,김포-선진운수,35,241351007,한강센트럴자이,232000818,한강센트럴자이,232000818,10분~15분,20분~30분,7:40,21:30,7:40,21:30
776, 김포시,김포-선진운수,35,241351007,한강센트럴자이,232000818,한강센트럴자이,232000818,10분~15분,20분~30분,,,,
777, 김포시,김포-선진운수,36,241351008,한강센트럴자이,232000631,한강센트럴자이,232000631,10분~15분,20분~30분,6:40,21:30,6:40,21:30
778, 김포시,김포-선진운수,36,241351008,한강센트럴자이,232000631,한강센트럴자이,232000631,10분~15분,20분~30분,7:40,21:30,7:40,21:30
779, 김포시,김포-선진운수,36,241351008,한강센트럴자이,232000631,한강센트럴자이,232000631,10분~15분,20분~30분,,,,
780, 김포시,김포-한강교통,30-1,241351010,한신더휴테라스,232000829,장기역.주공아파트,232000553,12분~20분,,06:40,21:30,06:40,21:30
781, 김포시,김포-한강교통,30-2,241351011,동일스위트2단지,232000991,호수마을2.3.5.단지,232000946,,,00:00,,,
782, 김포시,김포-한강교통,한강이음1,241351012,자이더빌리지4단지,232000990,한신더휴테라스,232000828,,,,,,
783, 김포시,김포-한강교통,한강이음1-1,241351013,동일스위트2단지,232000991,운양동주민센터,232000048,,,,,,
784, 김포시,김포-한강교통,21,241351014,걸포북변역,232000673,걸포북변역,232000673,,,,,,
785, 김포시,김포-한강교통,30A,241351015,용화사,232000701,용화사하차,232519200,,,,,,
786, 김포시,김포-금파산업,52,241460001,신안2차아파트,232000891,장릉입구.효원연수원,232000923,7분~20분,7분~20분,16:00,22:00,16:00,22:00
787, 김포시,김포-금파산업,52A,241460002,신안2차아파트,232000891,길훈아파트,232000917,7분~20분,7분~20분,9:00,16:00,9:00,16:00
788, 김포시,김포-금파산업,52B,241460003,신안2차아파트,232000891,길훈아파트,232000917,7분~20분,7분~20분,6:40,9:00,6:40,9:00
789, 김포시,김포-금파산업,10,241460006,북변환승센터.구터미널,232000580,고촌역,232000356,80분~100분,80분~100분,10:10,18:20,10:42,19:00
790, 김포시,김포-금파산업,10A,241460007,북변환승센터.구터미널,232000580,고촌역,232000356,,,7:35,7:35,8:07,8:07
791, 김포시,김포-금파산업,20,241460009,힐스테이트리버시티2단지정문,232000059,사우고.김포시청,232000427,,,,,,
792, 김포시,김포-금파산업,20A,241460010,힐스테이트리버시티2단지정문,232000059,김포아트홀,232000575,,,,,,
793, 김포시,김포-금파산업,20N,241460011,힐스테이트리버시티2단지정문,232000059,풍무역,232000429,17분~20분,,22:18,00:05,22:28,00:15
794, 김포시,김포-금파산업,52N,241460012,신안2차아파트,232000891,걸포북변역,232000673,30분,,22:30,00:00,22:45,00:15
795, 김포시,김포-고촌교통,17,241461001,소준,232514000,신동,232000862,60분~90분,,6:30,19:30,,
796, 김포시,김포-고촌교통,16,241461002,아라뱃길.김포터미널,232000703,고촌역,232000356,13분~15분,,7:30,21:00,,
797, 김포시,김포-고촌교통,15,241461003,고촌역,232000356,고촌역,232000356,5분~10분,5분~10분,00:00,,6:40,21:10
798, 김포시,김포-고촌교통,15,241461003,고촌역,232000356,고촌역,232000356,5분~10분,5분~10분,,,7:40,21:10
799, 김포시,김포-고촌교통,17A,241461004,보름초등학교,232000058,수기마을1단지,232000110,15분~20분,,7:50,8:40,,
800, 김포시,김포-고촌교통,16-1,241461005,현대프리미엄아울렛.아라뱃길,232000909,개화역광역환승센터,115000320,10분~15분,10분~15분,00:00,,6:40,22:00
801, 김포시,김포-고촌교통,16-1,241461005,현대프리미엄아울렛.아라뱃길,232000909,개화역광역환승센터,115000320,10분~15분,10분~15분,,,7:40,22:00
802, 김포시,김포-고촌교통,50,241461006,유현마을.신동아아파트,232000349,김포사우아이파크,232000519,15분~17분,,6:30,22:00,6:40,22:00
803, 김포시,김포-고촌교통,50,241461006,유현마을.신동아아파트,232000349,김포사우아이파크,232000519,15분~17분,,,,7:40,22:00
804, 김포시,김포-고촌교통,1,241461007,걸포북변역,232000673,현대프라임아파트,232000473,8분~10분,5분~12분,6:40,22:00,6:40,22:00
805, 김포시,김포-고촌교통,1,241461007,걸포북변역,232000673,현대프라임아파트,232000473,8분~10분,5분~12분,7:40,22:00,7:40,22:00
806, 김포시,김포-고촌교통,1A,241461008,걸포북변역,232000673,현대프라임아파트,232000473,8분~10분,8분~10분,6:20,8:30,6:20,8:30
807, 김포시,김포-고촌교통,51,241461009,승가대학,232514110,풍무역,232000359,30분,30분,6:30,21:50,6:40,22:00
808, 김포시,김포-고촌교통,51,241461009,승가대학,232514110,풍무역,232000359,30분,30분,6:30,21:50,7:40,22:00
809, 김포시,김포-고촌교통,52-1,241461011,길훈아파트,232515370,풍무역,232000359,13분~15분,,7:00,18:00,6:40,18:30
810, 김포시,김포-고촌교통,19,241461012,고촌역,232000356,보름초등학교,232000057,10분~25분,,6:40,22:00,6:40,19:00
811, 김포시,김포-고촌교통,1B,241461014,걸포북변역,232000673,현대프라임아파트,232000473,,,00:00,,,
812, 김포시,김포-고촌교통,16A,241461015,고촌역,232000432,고촌역,232000432,13분~15분,,6:40,22:00,,
813, 김포시,김포-고촌교통,1C,241461016,현대프라임아파트,232000473,풍무역,232000359,10분~15분,,7:00,21:40,,
814, 김포시,김포-고촌교통,19N,241461017,고촌역,232000356,보름초등학교,232000057,20분,,22:00,00:00,,
815, 김포시,김포-마송운수,22(새벽),241462001,마송공영차고지,232000675,마송공영차고지,232000674,40분,,6:40,8:20,,
816, 김포시,김포-마송운수,22(오전),241462003,마송공영차고지,232000675,마송공영차고지,232000674,60분,,8:40,12:30,,
817, 김포시,김포-마송운수,22(오후),241462005,마송공영차고지,232000675,마송공영차고지,232000674,60분,,13:30,19:30,,
818, 김포시,김포-방주교통,5,241463001,마송공영차고지,232000675,대곶사거리,232000283,30분,30분,6:40,20:40,7:00,20:55
819, 김포시,김포-방주교통,5,241463001,마송공영차고지,232000675,대곶사거리,232000283,30분,30분,7:00,20:40,7:00,20:55
820, 김포시,김포-월곶운수,11A,241464002,군하리,232000603,군하리,232000603,60분~80분,,7:00,19:20,,
821, 김포시,김포-월곶운수,11B,241464003,군하리,232000603,군하리,232000603,60분~80분,,7:00,19:20,,
822, 김포시,김포-통진교통,77,241466001,마송공영차고지,232000675,약산,232516140,60분~120분,60분~120분,6:40,20:30,7:00,20:50
823, 김포시,김포-통진교통,77,241466001,마송공영차고지,232000675,약산,232516140,60분~120분,60분~120분,7:30,20:30,7:50,20:50
824, 김포시,김포-통진교통,77-1(오전),241466002,마송공영차고지,232000675,마송공영차고지,232000674,80분,,6:30,13:20,,
825, 김포시,김포-통진교통,77-1(오후),241466003,마송공영차고지,232000675,마송공영차고지,232000674,80분,,15:10,19:00,,
826, 김포시,김포-통진교통,77-2,241466004,마송공영차고지,232000675,신김포농협대곶지점,232000644,60분,,6:35,20:50,,
827, 김포시,김포-하성마을버스,23(석탄리),241467004,하성종점,232000604,하성종점,232000604,60분,,8:50,19:50,,
828, 김포시,김포-하성마을버스,23(국수메),241467005,하성종점,232000604,하성종점,232000604,60분,,6:40,20:20,,
829, 김포시,김포-하성마을버스,23(중계소),241467006,하성종점,232000604,하성종점,232000604,60분~120분,,7:35,19:20,,
830, 김포시,김포-하성마을버스,24(마조리),241467007,하성종점,232000604,하성종점,232000604,60분~120분,,6:40,19:00,,
831, 김포시,김포-하성마을버스,24(양택리),241467008,하성종점,232000604,하성종점,232000604,60분~120분,,7:45,20:00,,
832, 김포시,김포-하성마을버스,24(마곡리),241467009,하성종점,232000604,하성종점,232000604,60분~120분,,7:05,19:35,,
833, 김포시,김포-하성마을버스,25(석탄리),241467010,하성종점,232000604,하성종점,232000604,40분~80분,,9:20,20:20,,
834, 김포시,김포-하성마을버스,25(마조리),241467011,하성종점,232000604,하성종점,232000604,60분,,8:50,19:50,,
835, 김포시,김포-하성마을버스,25(마조.석탄리),241467012,하성종점,232000604,하성종점,232000604,40분,,6:30,8:20,,
836, 김포시,김포-조강리마을버스,72A(조강2리),241468001,마송공영차고지,232000675,조강2리,232516320,60분~120분,60분~120분,7:00,20:00,7:30,19:30
837, 김포시,김포-조강리마을버스,72B(개곡2리),241468002,마송공영차고지,232000675,개곡2리마을회관,232510400,60분~120분,60분~120분,7:30,19:30,8:00,20:00
838, 남양주시,경기운수,1000,221000003,호평동차고지,222000824,잠실광역환승센터,123000611,25분~30분,25분~35분,05:30,22:50,06:20,23:45
839, 남양주시,경기운수,1000,221000003,호평동차고지,222000824,잠실광역환승센터,123000611,25분~30분,25분~35분,05:30,23:30,06:20,00:20
840, 남양주시,경기버스,707,222000002,진벌리차고지,222001119,현대코아,105000199,8분~13분,15분~25분,04:30,23:50,05:40,01:00
841, 남양주시,경기운수,202,222000004,진벌리차고지,222000652,현대코아,105000199,8분~12분,12분~20분,04:37,23:50,05:40,01:05
842, 남양주시,경기버스,3-1,222000005,진벌리종점,222001142,휴먼시아16단지.금강아파트,222001374,20분~130분,20분~130분,06:45,21:00,06:00,21:40
843, 남양주시,경기버스,71,222000006,금곡리,222000654,진접농협,222000528,40분~60분,40분~60분,06:00,21:30,06:20,21:50
844, 남양주시,경기버스,88,222000008,내촌차고지(경유),277102573,경동시장앞,105000081,25분~40분,40분~60분,04:10,22:20,05:40,23:50
845, 남양주시,경기운수,9,222000009,진벌리차고지,222001119,강변역(B),104000280,7분~12분,15분~20분,04:30,23:40,05:50,01:15
846, 남양주시,경기버스,23,222000013,내촌차고지(경유),277102573,스타필드하남,227000663,8분~13분,12분~18분,04:00,23:00,04:40,00:30
847, 남양주시,경기버스,73,222000014,경복대,222001108,석계역1번출구A,110000183,20분~30분,30분~50분,05:10,22:00,06:20,23:20
848, 남양주시,경기버스,7-7,222000016,광릉테크노밸리입구,222001426,양원자동차학원,222000905,80분~150분,80분~150분,06:00,20:20,06:35,21:00
849, 남양주시,경기운수,6-1,222000017,윗독정리,222000921,사릉역,222001575,75분~140분,75분~140분,05:55,21:00,06:20,21:30
850, 남양주시,경기버스,7-4,222000019,사릉역,222001575,금곡2리.경복대학,222000650,90분~150분,90분~150분,06:00,19:50,06:45,20:40
851, 남양주시,경기운수,6-2,222000020,진접읍사무소,222001457,윗독정,222000922,120분~200분,120분~200분,06:00,21:20,06:55,22:25
852, 남양주시,대원운수,91,222000022,진벌리차고지,222000652,강변역(B),104000280,35분~40분,50분~60분,04:40,22:30,06:00,23:50
853, 남양주시,대원운수,55,222000023,사능차고지,222000755,55번종점,222000169,15분~20분,20분~30분,05:30,21:30,06:25,22:30
854, 남양주시,대원운수,97,222000027,호평동차고지,222000824,서울아산병원동관,123000029,15분~25분,15분~25분,04:45,22:15,06:00,23:30
855, 남양주시,대원운수,165,222000028,호평동차고지,222000824,현대코아,105000199,7분~10분,15분~20분,04:30,22:30,05:35,23:50
856, 남양주시,대원운수,6,222000029,차산리,222000796,군장리종점,222001020,190분,190분,06:30,20:20,07:25,21:20
857, 남양주시,대원운수,65-1,222000030,차산리,222000796,석계역1번출구A,110000183,20분~25분,25분~35분,05:25,21:20,06:45,22:45
858, 남양주시,대원운수,65,222000031,차산리,222000796,경동시장앞,105000081,10분~12분,15분~20분,05:00,23:10,06:30,00:40
859, 남양주시,대원운수,1-4,222000032,차산리,222000796,미사동차고지,227000064,10분~20분,25분~30분,05:00,23:00,05:00,00:00
860, 남양주시,대원운수,30-15,222000033,연대농장입구.도곡리종점,222000267,마석역,222000010,100분~140분,100분~140분,05:50,19:50,06:30,20:30
861, 남양주시,대원운수,30-4,222000034,산성마을입구,222000011,축령산자연휴양림,222001557,15분~105분,30분~130분,06:15,21:20,06:45,21:50
862, 남양주시,대원운수,30-9,222000038,청소년도움센터,222000013,남양주유기농박물관,222001479,25분~80분,35분~90분,06:05,22:20,06:40,22:35
863, 남양주시,대원운수,30-12,222000040,마석역,222000010,녹촌리,222001035,40분~200분,50분~220분,06:25,17:30,06:45,17:50
864, 남양주시,대원운수,30-1,222000041,산성마을입구,222000011,보광사.가곡리종점,222001236,10분~65분,10분~65분,06:35,22:05,06:55,22:15
865, 남양주시,대원운수,112-1,222000045,도곡리차고지대기(경유),277104352,테크노마트앞.강변역(D),104000069,10분~20분,15분~20분,05:10,22:30,06:20,23:40
866, 남양주시,대원운수,1670,222000046,연대농장입구.도곡리종점,222000267,잠실역,123000511,4분~9분,10분~14분,05:07,00:20,05:30,01:00
867, 남양주시,대원운수,168,222000047,차산리,222000796,연대농장입구.도곡리종점,222000268,60분,150분,05:50,21:30,07:20,22:50
868, 남양주시,대원운수,166-1,222000048,연대농장입구.도곡리종점,222000267,현대코아,105000199,15분~25분,20분~30분,05:20,23:30,06:25,00:50
869, 남양주시,대원운수,1660,222000049,도곡리차고지대기(경유),277104352,테크노마트앞.강변역(D),104000069,15분~20분,20분~25분,05:00,00:20,05:30,01:00
870, 남양주시,대원운수,7,222000055,훈련장입구,222000251,삼익아파트,222001279,40분~110분,40분~110분,05:55,21:25,06:25,22:00
871, 남양주시,대원운수,167-1,222000056,농수산물시장,221000265,율석3리,222000967,90분,90분,05:45,20:20,06:25,21:00
872, 남양주시,대원운수,1,222000058,진벌리차고지,222001119,강변역(A),104000183,10분~13분,15분~20분,04:25,23:25,05:30,00:40
873, 남양주시,대원운수,1,222000058,진벌리차고지,222001119,강변역(A),104000183,10분~13분,15분~20분,04:25,23:45,05:30,01:00
874, 남양주시,대원운수,30-3,222000061,마석역,222000010,지둔리마을회관,222001164,110분~410분,110분~410분,06:30,19:35,07:00,20:10
875, 남양주시,대원운수,30-11,222000063,산성마을입구,222000011,맹골,222001197,40분~70분,50분~90분,06:25,21:50,06:45,22:05
876, 남양주시,대원운수,30-10,222000064,산성마을입구,222000011,창현리.종점,222001188,65분~240분,80분~260분,07:05,18:10,07:25,18:35
877, 남양주시,대원운수,30-10,222000064,산성마을입구,222000011,창현리.종점,222001188,65분~240분,80분~260분,07:05,18:55,07:25,19:20
878, 남양주시,대원운수,30-20,222000065,마석역,222000742,만취대,222000100,20분~125분,65분~195분,07:40,21:00,08:10,21:30
879, 남양주시,대원운수,30-20,222000065,마석역,222000742,만취대,222000100,20분~125분,65분~195분,08:00,21:15,08:30,21:45
880, 남양주시,대원운수,167,222000072,남양주유기농박물관,222001479,경동시장앞,105000081,35분~50분,50분~60분,04:40,22:50,06:00,00:20
881, 남양주시,대원운수,1700,222000073,연대농장입구.도곡리종점,222000267,신논현역.우신빌딩,121000943,20분~25분,20분~30분,05:00,22:30,06:10,23:40
882, 남양주시,대원운수,1100,222000074,차산리,222000796,신사동고개,122000012,20분~30분,20분~30분,05:00,23:00,06:20,00:25
883, 남양주시,경기운수,2000,222000075,진벌리차고지(경유),277102442,강남역.역삼세무서,122000184,10분~20분,15분~25분,04:55,22:10,06:35,23:45
884, 남양주시,경기운수,2000,222000075,진벌리차고지(경유),277102442,강남역.역삼세무서,122000184,10분~20분,15분~25분,04:55,22:55,06:35,00:45
885, 남양주시,경기버스,7007,222000076,광릉내종점,222000629,강남역.강남역사거리,121000091,15분~20분,25분~35분,05:10,22:30,06:30,23:50
886, 남양주시,경기버스,7007,222000076,광릉내종점,222000629,강남역.강남역사거리,121000091,15분~20분,25분~35분,05:10,23:20,06:30,00:40
887, 남양주시,대원운수,1200,222000078,차산리,222000796,잠실광역환승센터,123000611,25분~30분,20분~30분,05:00,22:30,06:00,23:30
888, 남양주시,대원운수,10,222000082,진벌리차고지,222000652,당고개역,110000650,45분~60분,60분~90분,04:30,22:30,05:40,23:40
889, 남양주시,대원운수,8002,222000084,대성리,239000682,잠실광역환승센터,123000611,4분~10분,10분~17분,05:10,22:50,06:05,23:50
890, 남양주시,대원운수,8002,222000084,대성리,239000682,잠실광역환승센터,123000611,4분~10분,10분~17분,05:10,23:10,06:05,00:10
891, 남양주시,대원운수,8001,222000088,대성리,239000682,신사동고개,122000012,40분~110분,90분,05:00,22:40,06:20,00:00
892, 남양주시,대원운수,56,222000089,대성리,239000682,다산정약용유적지.실학박물관,222001325,30분~50분,30분~50분,05:10,22:30,05:45,23:05
893, 남양주시,경기버스,8012,222000090,광릉내,222001122,잠실광역환승센터,123000611,8분~13분,12분~20분,05:00,23:00,06:00,00:00
894, 남양주시,경기버스,7-8,222000096,광릉테크노밸리입구,222001426,접동마을,222001118,40분~90분,40분~90분,05:50,21:00,06:10,21:20
895, 남양주시,경기운수,5-1,222000098,금곡산업단지,222000152,사릉역,222001575,30분~40분,40분~45분,05:50,20:55,06:20,21:25
896, 남양주시,대원운수,1001,222000107,청학리,222001626,잠실광역환승센터,123000611,8분~20분,15분~20분,05:10,23:00,06:00,23:50
897, 남양주시,대원운수,330-3,222000109,비금리,222000800,차산리,222000797,,,00:00,00:00,00:00,00:00
898, 남양주시,경기운수,땡큐60,222000110,광릉테크노밸리종점,222000627,금곡동구종점.금곡초교,222000141,8분~15분,15분~25분,05:40,22:00,07:10,23:10
899, 남양주시,경기운수,9-1,222000111,진벌리차고지,222001119,강변역(B),104000280,60분,60분,05:00,21:00,06:20,22:30
900, 남양주시,경기운수,2000-1,222000122,진벌리차고지(경유),277102442,강남역.역삼세무서,122000184,,,06:22,06:47,00:00,00:00
901, 남양주시,경기운수,2000-1,222000122,진벌리차고지(경유),277102442,강남역.역삼세무서,122000184,,,,,,
902, 남양주시,대원운수,30-5,222000131,마석역,222000010,수산1리마을회관,222001000,60분~155분,60분~155분,06:40,20:15,07:15,20:50
903, 남양주시,대원운수,330-2,222000133,차산리,222000796,비금리,222000799,25분~30분,30분~40분,00:00,00:00,00:00,00:00
904, 남양주시,대원운수,1200-1,222000137,차산리,222000796,잠실광역환승센터,123000611,30분,,06:30,07:00,00:00,00:00
